; charset=UTF-8
@@	12000	Cuneiform	123FF
@		Signs
121D2	CUNEIFORM SIGN LAGAB TIMES KUL
121D3	CUNEIFORM SIGN LAGAB TIMES KUL PLUS HI PLUS A
121D4	CUNEIFORM SIGN LAGAB TIMES LAGAB
121D5	CUNEIFORM SIGN LAGAB TIMES LISH
121D6	CUNEIFORM SIGN LAGAB TIMES LU
121D7	CUNEIFORM SIGN LAGAB TIMES LUL
121D8	CUNEIFORM SIGN LAGAB TIMES ME
121D9	CUNEIFORM SIGN LAGAB TIMES ME PLUS EN
121DA	CUNEIFORM SIGN LAGAB TIMES MUSH
121DB	CUNEIFORM SIGN LAGAB TIMES NE
121DC	CUNEIFORM SIGN LAGAB TIMES SHE PLUS SUM
121DD	CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH PLUS ERIN2
121DE	CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH TENU
121DF	CUNEIFORM SIGN LAGAB TIMES SHU2
121E0	CUNEIFORM SIGN LAGAB TIMES SHU2 PLUS SHU2
121E1	CUNEIFORM SIGN LAGAB TIMES SUM
121E2	CUNEIFORM SIGN LAGAB TIMES TAG
121E3	CUNEIFORM SIGN LAGAB TIMES TAK4
121E4	CUNEIFORM SIGN LAGAB TIMES TE PLUS A PLUS SU PLUS NA
121E5	CUNEIFORM SIGN LAGAB TIMES U
121E6	CUNEIFORM SIGN LAGAB TIMES U PLUS A
121E7	CUNEIFORM SIGN LAGAB TIMES U PLUS U PLUS U
121E8	CUNEIFORM SIGN LAGAB TIMES U2 PLUS ASH
121E9	CUNEIFORM SIGN LAGAB TIMES UD
121EA	CUNEIFORM SIGN LAGAB TIMES USH
121EB	CUNEIFORM SIGN LAGAB SQUARED
121EC	CUNEIFORM SIGN LAGAR
121ED	CUNEIFORM SIGN LAGAR TIMES SHE
121EE	CUNEIFORM SIGN LAGAR TIMES SHE PLUS SUM
121EF	CUNEIFORM SIGN LAGAR GUNU
121F0	CUNEIFORM SIGN LAGAR GUNU OVER LAGAR GUNU SHE
121F1	CUNEIFORM SIGN LAHSHU
121F2	CUNEIFORM SIGN LAL
121F3	CUNEIFORM SIGN LAL TIMES LAL
121F4	CUNEIFORM SIGN LAM
121F5	CUNEIFORM SIGN LAM TIMES KUR
121F6	CUNEIFORM SIGN LAM TIMES KUR PLUS RU
121F7	CUNEIFORM SIGN LI
121F8	CUNEIFORM SIGN LIL
